Kids_First_Biospecimen_ID	cluster	ecotype
BS_00FD2KMP	2	Immune-desert
BS_028YFYJ6	2	Immune-desert
BS_052PZFMK	2	Immune-desert
BS_056Q8577	1	Immune-active
BS_08ST21QE	1	Immune-active
BS_0C7VZC0A	2	Immune-desert
BS_0S8E7590	1	Immune-active
BS_0VXZCRJS	2	Immune-desert
BS_0XEBS3PG	2	Immune-desert
BS_0ZA67BBC	2	Immune-desert
BS_12G04QJM	2	Immune-desert
BS_17ZSMXFH	2	Immune-desert
BS_1A6MQ9ZA	1	Immune-active
BS_1D93Z575	1	Immune-active
BS_1EN5V3XW	2	Immune-desert
BS_223BM91B	1	Immune-active
BS_25HNKZ79	1	Immune-active
BS_2853394H	2	Immune-desert
BS_297H8BT4	1	Immune-active
BS_29X4ZX6Q	2	Immune-desert
BS_2A5R9MEJ	2	Immune-desert
BS_2ARXK0TD	1	Immune-active
BS_2AV1H5TV	2	Immune-desert
BS_2DMBCHNF	1	Immune-active
BS_2EN3X6HB	1	Immune-active
BS_2FEZWH1F	1	Immune-active
BS_2HNXVFAS	2	Immune-desert
BS_2JH1QMT1	2	Immune-desert
BS_2JP7RBMB	2	Immune-desert
BS_2K01T8K6	1	Immune-active
BS_2PDS3MSS	1	Immune-active
BS_2T5PJAW8	1	Immune-active
BS_2WANPFBJ	1	Immune-active
BS_30F3Z9FS	1	Immune-active
BS_30VC3R2Q	2	Immune-desert
BS_30YWQ3FY	1	Immune-active
BS_31MBRWC4	1	Immune-active
BS_333KCNDP	1	Immune-active
BS_399RPKC9	2	Immune-desert
BS_3AC3SRWH	2	Immune-desert
BS_3MS8WVNR	2	Immune-desert
BS_3ZPJAK9A	2	Immune-desert
BS_45J79YTF	2	Immune-desert
BS_49BQS7Z6	2	Immune-desert
BS_49CJNZ06	2	Immune-desert
BS_4B0BAVTX	1	Immune-active
BS_4BM3F6XJ	1	Immune-active
BS_4C6B11E4	1	Immune-active
BS_4GNN7J8E	1	Immune-active
BS_4KNBXM3C	1	Immune-active
BS_4Q3KRCZT	1	Immune-active
BS_4QW2S1Q8	1	Immune-active
BS_4T0HQ9QF	2	Immune-desert
BS_4V42BXBT	2	Immune-desert
BS_51RA1PGE	2	Immune-desert
BS_52C576HH	2	Immune-desert
BS_5965SFPZ	2	Immune-desert
BS_5EFYPZT0	2	Immune-desert
BS_5G5BD2MD	1	Immune-active
BS_5K95FX4C	1	Immune-active
BS_5KBXD2GQ	2	Immune-desert
BS_5PXZ8F7W	1	Immune-active
BS_5VPM0F36	1	Immune-active
BS_62SW4CC5	1	Immune-active
BS_65WPD3DA	2	Immune-desert
BS_68KX6A42	1	Immune-active
BS_6DCSD5Y6	2	Immune-desert
BS_6H4Q24WA	1	Immune-active
BS_6M2053M0	1	Immune-active
BS_6SY64H5J	1	Immune-active
BS_6VRG1XFB	2	Immune-desert
BS_6WP1FHTE	1	Immune-active
BS_7327SDAQ	2	Immune-desert
BS_75YRDXET	1	Immune-active
BS_77SBTNPN	2	Immune-desert
BS_7AEF4D4G	1	Immune-active
BS_7APCGCVF	1	Immune-active
BS_7GJT4A6A	2	Immune-desert
BS_7GKWKGPH	1	Immune-active
BS_7PVJ6Q3D	2	Immune-desert
BS_7WKNNRHK	2	Immune-desert
BS_84VZX732	1	Immune-active
BS_84XCR9GG	2	Immune-desert
BS_8E8JKP01	2	Immune-desert
BS_8ERBDF7D	2	Immune-desert
BS_8JK9TXH2	1	Immune-active
BS_8VD670NP	2	Immune-desert
BS_8YWYN7VH	1	Immune-active
BS_8ZE4Z9G5	1	Immune-active
BS_8ZY4GST0	2	Immune-desert
BS_91VYM11A	1	Immune-active
BS_956G6QPJ	2	Immune-desert
BS_97M1E2DW	2	Immune-desert
BS_9A1YTHFF	1	Immune-active
BS_9B0A62MT	1	Immune-active
BS_9CA93S6D	2	Immune-desert
BS_9FHEFJNP	2	Immune-desert
BS_9FX3YREK	2	Immune-desert
BS_9GJ3DB1H	1	Immune-active
BS_9JPQZQNG	2	Immune-desert
BS_9TXEDSWB	1	Immune-active
BS_9XVACXP0	2	Immune-desert
BS_9Y1K14Q5	2	Immune-desert
BS_9ZJT0CP0	1	Immune-active
BS_A4PF49V0	2	Immune-desert
BS_A6NXR7RC	1	Immune-active
BS_A7Q8G0Y1	2	Immune-desert
BS_A8XW5S0W	1	Immune-active
BS_AWH9757B	2	Immune-desert
BS_AYSXRQWY	1	Immune-active
BS_AZQM1JJH	1	Immune-active
BS_B1C6GZ84	2	Immune-desert
BS_B3MQFFYP	1	Immune-active
BS_B4R7X1KE	2	Immune-desert
BS_B57327NA	1	Immune-active
BS_BBAEMXRD	2	Immune-desert
BS_BBQ6BHGN	2	Immune-desert
BS_BK0HGRXM	1	Immune-active
BS_BMMY0H73	1	Immune-active
BS_C6ZZ3FY5	2	Immune-desert
BS_C83TK159	2	Immune-desert
BS_CBDQZ8PP	2	Immune-desert
BS_CF63VG3S	2	Immune-desert
BS_CFD3WHAY	1	Immune-active
BS_CG1RG607	1	Immune-active
BS_CVEDJGHZ	1	Immune-active
BS_CXAQDK7S	1	Immune-active
BS_CZPQ493E	1	Immune-active
BS_D29RPBSZ	1	Immune-active
BS_D4VNDNQA	2	Immune-desert
BS_D6J2BGDJ	2	Immune-desert
BS_DFGS950G	2	Immune-desert
BS_DNZVP92S	2	Immune-desert
BS_DR079H0D	2	Immune-desert
BS_DS438CXE	2	Immune-desert
BS_DSPVSM7D	2	Immune-desert
BS_DZNXFPH1	1	Immune-active
BS_E7NVYA6G	1	Immune-active
BS_E9CYN4NP	2	Immune-desert
BS_EB0XRBT9	1	Immune-active
BS_EDJ5TV0P	2	Immune-desert
BS_EMQM7HTA	2	Immune-desert
BS_ENEYB4TG	1	Immune-active
BS_EXPJQZTH	1	Immune-active
BS_EZ3147MX	2	Immune-desert
BS_F0JB4EAK	2	Immune-desert
BS_F21R36MM	2	Immune-desert
BS_F65GWS21	2	Immune-desert
BS_F6V1Y4QS	2	Immune-desert
BS_F9Y4Z92G	2	Immune-desert
BS_FCDAH728	2	Immune-desert
BS_FEV5A0HN	2	Immune-desert
BS_FGJH1X0S	2	Immune-desert
BS_FKASA3MN	2	Immune-desert
BS_FN07P04C	2	Immune-desert
